Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
BurgerShot,Failure,23,16,2019-06-23 21:02:27 -0500,20190708 08:44 PM,0:01:29
Setup/Task,Success,1,0,20190708 05:09 PM,20190708 05:09 PM,0:00:00
